" u "," y "
0,0
-0.014717,0.001
-0.029435,0.002
-0.044152,0.003
-0.058698,0.004
-0.07159,0.005
-0.084482,0.006
-0.097373,0.007
-0.10993,0.008
-0.12101,0.009
-0.1321,0.01
-0.14318,0.011
-0.15381,0.012
-0.16326,0.013
-0.17271,0.014
-0.18215,0.015
-0.19111,0.016
-0.19923,0.017
-0.20736,0.018
-0.21549,0.019
-0.22316,0.02
-0.23033,0.021
-0.23749,0.022
-0.24466,0.023
-0.25146,0.024
-0.25798,0.025
-0.2645,0.026
-0.27102,0.027
-0.27726,0.028
-0.28334,0.029
-0.28942,0.03
-0.2955,0.031
-0.30131,0.032
-0.30705,0.033
-0.31278,0.034
-0.31851,0.035
-0.32395,0.036
-0.32933,0.037
-0.33472,0.038
-0.3401,0.039
-0.34512,0.04
-0.35011,0.041
-0.3551,0.042
-0.36007,0.043
-0.3646,0.044
-0.36912,0.045
-0.37364,0.046
-0.3781,0.047
-0.38208,0.048
-0.38607,0.049
-0.39005,0.05
-0.39391,0.051
-0.3973,0.052
-0.40069,0.053
-0.40407,0.054
-0.40726,0.055
-0.41001,0.056
-0.41276,0.057
-0.41551,0.058
-0.41799,0.059
-0.42009,0.06
-0.42218,0.061
-0.42427,0.062
-0.42604,0.063
-0.42749,0.064
-0.42893,0.065
-0.43037,0.066
-0.43145,0.067
-0.43227,0.068
-0.43309,0.069
-0.43391,0.07
-0.43434,0.071
-0.43459,0.072
-0.43484,0.073
-0.4351,0.074
-0.43495,0.075
-0.4347,0.076
-0.43445,0.077
-0.4342,0.078
-0.43358,0.079
-0.4329,0.08
-0.43222,0.081
-0.43155,0.082
-0.43054,0.083
-0.42952,0.084
-0.4285,0.085
-0.42747,0.086
-0.42619,0.087
-0.42492,0.088
-0.42364,0.089
-0.42234,0.09
-0.42088,0.091
-0.41943,0.092
-0.41797,0.093
-0.41649,0.094
-0.41493,0.095
-0.41336,0.096
-0.4118,0.097
-0.41022,0.098
-0.4086,0.099
-0.40699,0.1
-0.40537,0.101
-0.40376,0.102
-0.40214,0.103
-0.40052,0.104
-0.39891,0.105
-0.39731,0.106
-0.39572,0.107
-0.39413,0.108
-0.39255,0.109
-0.391,0.11
-0.38947,0.111
-0.38794,0.112
-0.38641,0.113
-0.38493,0.114
-0.38347,0.115
-0.38201,0.116
-0.38055,0.117
-0.37915,0.118
-0.37776,0.119
-0.37638,0.12
-0.37499,0.121
-0.37367,0.122
-0.37237,0.123
-0.37106,0.124
-0.36975,0.125
-0.36851,0.126
-0.36727,0.127
-0.36603,0.128
-0.3648,0.129
-0.36362,0.13
-0.36245,0.131
-0.36128,0.132
-0.36011,0.133
-0.35899,0.134
-0.35787,0.135
-0.35675,0.136
-0.35564,0.137
-0.35457,0.138
-0.35349,0.139
-0.35242,0.14
-0.35136,0.141
-0.35032,0.142
-0.34928,0.143
-0.34824,0.144
-0.34721,0.145
-0.3462,0.146
-0.34519,0.147
-0.34418,0.148
-0.34317,0.149
-0.34218,0.15
-0.34119,0.151
-0.3402,0.152
-0.33921,0.153
-0.33823,0.154
-0.33725,0.155
-0.33627,0.156
-0.3353,0.157
-0.33433,0.158
-0.33336,0.159
-0.33239,0.16
-0.33142,0.161
-0.33045,0.162
-0.32949,0.163
-0.32852,0.164
-0.32756,0.165
-0.32659,0.166
-0.32563,0.167
-0.32466,0.168
-0.3237,0.169
-0.32273,0.17
-0.32177,0.171
-0.3208,0.172
-0.31984,0.173
-0.31887,0.174
-0.3179,0.175
-0.31694,0.176
-0.31597,0.177
-0.315,0.178
-0.31404,0.179
-0.31307,0.18
-0.3121,0.181
-0.31113,0.182
-0.31016,0.183
-0.30919,0.184
-0.30822,0.185
-0.30724,0.186
-0.30627,0.187
-0.3053,0.188
-0.30433,0.189
-0.30336,0.19
-0.30238,0.191
-0.30141,0.192
-0.30044,0.193
-0.29946,0.194
-0.29849,0.195
-0.29751,0.196
-0.29654,0.197
-0.29557,0.198
-0.29459,0.199
-0.29362,0.2
-0.29265,0.201
-0.29167,0.202
-0.2907,0.203
-0.28972,0.204
-0.28875,0.205
-0.28778,0.206
-0.28681,0.207
-0.28583,0.208
-0.28486,0.209
-0.28389,0.21
-0.28292,0.211
-0.28195,0.212
-0.28098,0.213
-0.28001,0.214
-0.27904,0.215
-0.27807,0.216
-0.2771,0.217
-0.27613,0.218
-0.27516,0.219
-0.2742,0.22
-0.27323,0.221
-0.27226,0.222
-0.2713,0.223
-0.27033,0.224
-0.26937,0.225
-0.2684,0.226
-0.26744,0.227
-0.26648,0.228
-0.26552,0.229
-0.26456,0.23
-0.2636,0.231
-0.26264,0.232
-0.26168,0.233
-0.26072,0.234
-0.25976,0.235
-0.25881,0.236
-0.25785,0.237
-0.25689,0.238
-0.25594,0.239
-0.25499,0.24
-0.25403,0.241
-0.25308,0.242
-0.25213,0.243
-0.25118,0.244
-0.25023,0.245
-0.24928,0.246
-0.24833,0.247
-0.24738,0.248
-0.24643,0.249
-0.24548,0.25
-0.24454,0.251
-0.24359,0.252
-0.24265,0.253
-0.2417,0.254
-0.24076,0.255
-0.23982,0.256
-0.23888,0.257
-0.23793,0.258
-0.237,0.259
-0.23606,0.26
-0.23512,0.261
-0.23418,0.262
-0.23324,0.263
-0.2323,0.264
-0.23137,0.265
-0.23043,0.266
-0.2295,0.267
-0.22856,0.268
-0.22763,0.269
-0.2267,0.27
-0.22577,0.271
-0.22483,0.272
-0.2239,0.273
-0.22297,0.274
-0.22204,0.275
-0.22112,0.276
-0.22019,0.277
-0.21926,0.278
-0.21833,0.279
-0.21741,0.28
-0.21648,0.281
-0.21556,0.282
-0.21463,0.283
-0.21371,0.284
-0.21279,0.285
-0.21187,0.286
-0.21095,0.287
-0.21003,0.288
-0.20911,0.289
-0.20819,0.29
-0.20727,0.291
-0.20635,0.292
-0.20543,0.293
-0.20452,0.294
-0.2036,0.295
-0.20269,0.296
-0.20177,0.297
-0.20086,0.298
-0.19995,0.299
-0.19903,0.3
-0.19812,0.301
-0.19721,0.302
-0.1963,0.303
-0.19539,0.304
-0.19448,0.305
-0.19358,0.306
-0.19267,0.307
-0.19176,0.308
-0.19086,0.309
-0.18995,0.31
-0.18905,0.311
-0.18814,0.312
-0.18724,0.313
-0.18633,0.314
-0.18543,0.315
-0.18453,0.316
-0.18363,0.317
-0.18273,0.318
-0.18183,0.319
-0.18093,0.32
-0.18003,0.321
-0.17913,0.322
-0.17824,0.323
-0.17734,0.324
-0.17645,0.325
-0.17555,0.326
-0.17466,0.327
-0.17376,0.328
-0.17287,0.329
-0.17198,0.33
-0.17108,0.331
-0.17019,0.332
-0.1693,0.333
-0.16841,0.334
-0.16752,0.335
-0.16663,0.336
-0.16575,0.337
-0.16486,0.338
-0.16397,0.339
-0.16308,0.34
-0.1622,0.341
-0.16131,0.342
-0.16043,0.343
-0.15955,0.344
-0.15866,0.345
-0.15778,0.346
-0.1569,0.347
-0.15602,0.348
-0.15514,0.349
-0.15426,0.35
-0.15338,0.351
-0.1525,0.352
-0.15162,0.353
-0.15074,0.354
-0.14986,0.355
-0.14899,0.356
-0.14811,0.357
-0.14724,0.358
-0.14636,0.359
-0.14549,0.36
-0.14461,0.361
-0.14374,0.362
-0.14287,0.363
-0.142,0.364
-0.14112,0.365
-0.14025,0.366
-0.13938,0.367
-0.13851,0.368
-0.13764,0.369
-0.13678,0.37
-0.13591,0.371
-0.13504,0.372
-0.13417,0.373
-0.13331,0.374
-0.13244,0.375
-0.13158,0.376
-0.13071,0.377
-0.12985,0.378
-0.12898,0.379
-0.12812,0.38
-0.12726,0.381
-0.12639,0.382
-0.12553,0.383
-0.12467,0.384
-0.12381,0.385
-0.12295,0.386
-0.12209,0.387
-0.12123,0.388
-0.12037,0.389
-0.11951,0.39
-0.11866,0.391
-0.1178,0.392
-0.11694,0.393
-0.11609,0.394
-0.11523,0.395
-0.11438,0.396
-0.11352,0.397
-0.11267,0.398
-0.11181,0.399
-0.11096,0.4
-0.11011,0.401
-0.10925,0.402
-0.1084,0.403
-0.10755,0.404
-0.1067,0.405
-0.10584,0.406
-0.10499,0.407
-0.10414,0.408
-0.1033,0.409
-0.10245,0.41
-0.1016,0.411
-0.10075,0.412
-0.0999,0.413
-0.099052,0.414
-0.098205,0.415
-0.097358,0.416
-0.096511,0.417
-0.095665,0.418
-0.094819,0.419
-0.093974,0.42
-0.093129,0.421
-0.092283,0.422
-0.091439,0.423
-0.090595,0.424
-0.089751,0.425
-0.088907,0.426
-0.088065,0.427
-0.087222,0.428
-0.08638,0.429
-0.085538,0.43
-0.084696,0.431
-0.083854,0.432
-0.083013,0.433
-0.082172,0.434
-0.081331,0.435
-0.080491,0.436
-0.079651,0.437
-0.078811,0.438
-0.077971,0.439
-0.077132,0.44
-0.076292,0.441
-0.075454,0.442
-0.074615,0.443
-0.073777,0.444
-0.072938,0.445
-0.072101,0.446
-0.071263,0.447
-0.070426,0.448
-0.069589,0.449
-0.068752,0.45
-0.067915,0.451
-0.067079,0.452
-0.066242,0.453
-0.065406,0.454
-0.06457,0.455
-0.063734,0.456
-0.062898,0.457
-0.062063,0.458
-0.061227,0.459
-0.060392,0.46
-0.059557,0.461
-0.058722,0.462
-0.057887,0.463
-0.057053,0.464
-0.056218,0.465
-0.055383,0.466
-0.054549,0.467
-0.053715,0.468
-0.05288,0.469
-0.052046,0.47
-0.051212,0.471
-0.050378,0.472
-0.049544,0.473
-0.04871,0.474
-0.047876,0.475
-0.047043,0.476
-0.046209,0.477
-0.045376,0.478
-0.044542,0.479
-0.043709,0.48
-0.042875,0.481
-0.042042,0.482
-0.041208,0.483
-0.040374,0.484
-0.039541,0.485
-0.038707,0.486
-0.037873,0.487
-0.03704,0.488
-0.036206,0.489
-0.035373,0.49
